"","x"
"41","RT @GillyLovegrove: #davidjones #etching #woodcut @PallantGallery Vision &amp; Memory. Catch this exhibition while you can! Till 21 Feb '16 htt‚Ä¶"
"42","Mon coeur t'appartiendra pour toujours #PiratesDesCara√Øbes #Calipso #DavidJones"
"43","RT @GillyLovegrove: #davidjones #etching #woodcut @PallantGallery Vision &amp; Memory. Catch this exhibition while you can! Till 21 Feb '16 htt‚Ä¶"
"44","RT @PallantGallery: Only three weeks left to see #DavidJones! Don't miss this  wholly original artist:  https://t.co/5DtAi5zxqz https://t.c‚Ä¶"
"45","RT @PallantGallery: Only three weeks left to see #DavidJones! Don't miss this  wholly original artist:  https://t.co/5DtAi5zxqz https://t.c‚Ä¶"
"46","#davidjones #etching #woodcut @PallantGallery Vision &amp; Memory. Catch this exhibition while you can! Till 21 Feb '16 https://t.co/2qBcrqBBGT"
"47","Good song!! #ziggystardust #davidbowie #davidjones #blackstar https://t.co/tWj6yW6BDH"
"48","Completely adored the #DavidJones exhibition @PallantGallery recently. Glad #NYTimes is also feeling the love. https://t.co/bgSNLlQsOZ"
"49","UK artist&amp;poet David Jones (1909-1974): a body of work comes back into view #DavidJones #art  https://t.co/xTURmtWFz7"
"50","I miss him so much, still can't believe it :'( 
#DavidBowie #DavidJones #Legend #Icon ‚ô•‚ô• https://t.co/UTcoFA3LW4"
"51","Juice Day at Work!!! #davidjones #juiceday #nutritionmonth #healthylife #nutribullet #smoothie #yum #identitysimon ‚Ä¶ https://t.co/7KKjYN7JSz"
"52","RT @PallantGallery: David Boyd Hancock reviews #DavidJones, calling him ""one of the less recognised greats of modern British art"": https://‚Ä¶"
"53","David Boyd Hancock reviews #DavidJones, calling him ""one of the less recognised greats of modern British art"": https://t.co/li1Iow6MKr"
"54","Loving the #ChineseNewYear festive decorations @DavidJonesStore #Sydney #CNY #CNYSYD #LNYSYD #davidjones https://t.co/iQfFEdqPa6"
"55","#JesintaCampbell - #DavidJones #Photoshoot #Sydney Feb 2nd 2016 - 
 https://t.co/FxfDsFadj0 https://t.co/xEa5pBsQxu"
"56","Don't miss out on your #free #Lanc√¥me 8-piece gift at #DavidJones, #limited time offer only https://t.co/xRNQNsampJ"
"57","New #quote : Ì†ºÌºåÌ†ºÌº†Ì†ΩÌ≤õ #davidjones #loveandspacedust #beautiful #quote #quotes #words #instagood #vsco #vscocam #vscowor‚Ä¶ https://t.co/hUgkIxL4Wx"
"58","Be a part of our Clinique team at our Glen Waverley and Bourke St Mall Store!
#davidjones #beauty #clinique https://t.co/yBTkU7PMP1"
"59","I was so inspired yeterday by the #DavidJones exhibition @PallantGallery in #Chichester that I wrote a blog post: https://t.co/gBLhAdWHn3"
"60","#LovingTheAlien #DavidJones #Bowie https://t.co/AFGfse5Zb0"
"61","Excited to pack our bags and head up to #PacificFair on the #GoldCoast to recuit for our new store! #davidjones https://t.co/1FdNCwpEkB"
"62","https://t.co/jDkIWdHA9h #styleat60 #birdsnest #sportscraft #witchery #katies #soludos #styletread #davidjones ... https://t.co/bGuSwZxcKR"
"63","RT @AngieXposed: Great write-up @JasonDundas @DundasFit #Aussies doing great things home &amp; o/s #DavidJones A/W 2016 https://t.co/2IbiMfUbkn"
"64","RT @carouselworld: Get The Beauty Look From The David Jones AW16 Show https://t.co/v6EQUVLxlT #djsaw16 #davidjones #fashion #news https://t‚Ä¶"
"65","So many amazing things to look forward to in the #DavidJones Autumn collection! https://t.co/Z3mxW5lzD2 #DJsAW16"
"66","Behind the scenes. #DavidJones #SydneyDanceCompany #Revolve5000

https://t.co/9kixnFy8H3"
"67","#DavidJones courtesy of my grandparents https://t.co/AcZOowAMLJ"
"68","#hm #pull ##bag #davidjones #black #coffeemug #starbucks #found @ Starbucks Coffee Lyon Gare‚Ä¶ https://t.co/FKzobzWtCl"
"69","RT @PallantGallery: Only three weeks left to see #DavidJones! Don't miss this  wholly original artist:  https://t.co/5DtAi5zxqz https://t.c‚Ä¶"
"70","RT @PallantGallery: Only three weeks left to see #DavidJones! Don't miss this  wholly original artist:  https://t.co/5DtAi5zxqz https://t.c‚Ä¶"
"71","Thank's Mum !! Ì†ΩÌ∏çÌ†ΩÌ∏ç‚ù§Ô∏è #New #Bag #Happy #Smile #DavidJones Ì†ΩÌ±çÌ†ºÌøª https://t.co/wTpEXIAdNB"
"72","https://t.co/g8oEzKJOo6 #styleat60 #sportscraft #birdsnest #blueillusion #davidjones #adorne #lumiere #sofiacruz ... https://t.co/bwTL6jRAS4"
"73","From day to night #suitup #calibre #campaign #business #davidjones https://t.co/3X34Hrs0Nl"
"74","The dinnerware in present @davidjonesstore #dinnerware #concept #davidjones #katespade https://t.co/p2vliXD4eo"
"75","RT @carouselworld: #DavidJones 2016 Autumn/Winter Fashion Show Wrap-up https://t.co/7nq1ld63uF #djsaw16 #fashion #runway #news https://t.co‚Ä¶"
"76","Second look from the #davidjones A/W 16 Show. #DJsAW16 #model #man #mensstyle #mensfashion #paulsmith #catwalk #sho‚Ä¶ https://t.co/tK9tN2NpDf"
"77","RT @PallantGallery: Only three weeks left to see #DavidJones! Don't miss this  wholly original artist:  https://t.co/5DtAi5zxqz https://t.c‚Ä¶"
"78","RT @PallantGallery: Only three weeks left to see #DavidJones! Don't miss this  wholly original artist:  https://t.co/5DtAi5zxqz https://t.c‚Ä¶"
"79","Last chance to see #DavidJones @PallantGallery great #exhibition well worth a visit #aphrodite #painting https://t.co/NaNOQEnF2F"
"80","RT @PallantGallery: Only three weeks left to see #DavidJones! Don't miss this  wholly original artist:  https://t.co/5DtAi5zxqz https://t.c‚Ä¶"
"81","RT @PallantGallery: Only three weeks left to see #DavidJones! Don't miss this  wholly original artist:  https://t.co/5DtAi5zxqz https://t.c‚Ä¶"
"82","Only three weeks left to see #DavidJones! Don't miss this  wholly original artist:  https://t.co/5DtAi5zxqz https://t.co/rarxDkGjH2"
"83","ÌÆ∫Ìµ® #SS16 just arrived at @davidjonesstore #DavidJones ÌÆ∏Ì±íÌ†ºÌΩêÌ†ºÌΩãÌÆ∫Ìµ∏ #RyanLO ÌÆ∫Ìºë https://t.co/IXrbYd4jIX"
"84","RT @AntrobusDavid: So lovely to chat with @arianebankes about #davidjones and #InParenthesis for her article in @operamagazine @WNOtweet @I‚Ä¶"
"85","RT @AntrobusDavid: So lovely to chat with @arianebankes about #davidjones and #InParenthesis for her article in @operamagazine @WNOtweet @I‚Ä¶"
